127.0.0.1 - - [10/Apr/2021:17:56:47 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Apr/2021:17:56:48 +0900] "GET /project/%EC%B9%B4%EC%B9%B4%EC%98%A4%EB%A7%B5API.jsp HTTP/1.1" 200 3285
0:0:0:0:0:0:0:1 - - [10/Apr/2021:17:56:48 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [10/Apr/2021:17:56:58 +0900] "GET /project/productSummary2.jsp HTTP/1.1" 200 16976
0:0:0:0:0:0:0:1 - - [10/Apr/2021:17:56:59 +0900] "GET /project/resources/vendor/fontawesome-free/css/all.min.css/vendor/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Apr/2021:17:56:59 +0900] "GET /project/resources/data/MOCK_DATA%20(2)5.json HTTP/1.1" 200 719
0:0:0:0:0:0:0:1 - - [10/Apr/2021:17:57:00 +0900] "GET /project/address HTTP/1.1" 200 198
0:0:0:0:0:0:0:1 - - [10/Apr/2021:17:57:43 +0900] "GET /project/main.jsp HTTP/1.1" 200 5943
0:0:0:0:0:0:0:1 - - [10/Apr/2021:17:57:43 +0900] "GET /project/vendor/jquery/jquery.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Apr/2021:17:57:43 +0900] "GET /project/resources/vendor/fontawesome-free/css/all.min.css/vendor/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Apr/2021:17:57:43 +0900] "GET /project/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Apr/2021:17:57:43 +0900] "GET /project/resources/img/bg-main.jpg HTTP/1.1" 200 82536
0:0:0:0:0:0:0:1 - - [10/Apr/2021:17:57:43 +0900] "GET /project/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Apr/2021:17:57:45 +0900] "GET /project/productSummary.jsp HTTP/1.1" 200 13536
0:0:0:0:0:0:0:1 - - [10/Apr/2021:17:57:45 +0900] "GET /project/resources/vendor/fontawesome-free/css/all.min.css/vendor/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/Apr/2021:17:57:45 +0900] "GET /project/address HTTP/1.1" 200 198
0:0:0:0:0:0:0:1 - - [10/Apr/2021:17:57:46 +0900] "GET /project/main.jsp HTTP/1.1" 200 5943
0:0:0:0:0:0:0:1 - - [10/Apr/2021:17:57:46 +0900] "GET /project/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 404 721
