185.216.140.186 - - [17/Apr/2021:00:00:04 +0900] "GET /cache/global/img/gs.gif HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [17/Apr/2021:00:13:27 +0900] "GET /project/productdetail.jsp?pnum=59 HTTP/1.1" 200 18267
0:0:0:0:0:0:0:1 - - [17/Apr/2021:00:13:27 +0900] "GET /project/resources/vendor/fontawesome-free/css/all.min.css/vendor/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [17/Apr/2021:00:13:28 +0900] "GET /project/productInfo?pnum=59 HTTP/1.1" 200 438
0:0:0:0:0:0:0:1 - - [17/Apr/2021:00:13:28 +0900] "GET /project/getFlocation HTTP/1.1" 200 4605
0:0:0:0:0:0:0:1 - - [17/Apr/2021:00:13:28 +0900] "GET /project/my_insert?pnum=59&userid=&liked=0 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [17/Apr/2021:00:20:33 +0900] "GET /project/productdetail.jsp?pnum=59 HTTP/1.1" 200 18255
0:0:0:0:0:0:0:1 - - [17/Apr/2021:00:20:33 +0900] "GET /project/resources/vendor/fontawesome-free/css/all.min.css/vendor/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [17/Apr/2021:00:20:33 +0900] "GET /project/getFlocation HTTP/1.1" 200 4605
0:0:0:0:0:0:0:1 - - [17/Apr/2021:00:20:33 +0900] "GET /project/productInfo?pnum=59 HTTP/1.1" 200 438
0:0:0:0:0:0:0:1 - - [17/Apr/2021:00:20:33 +0900] "GET /project/my_insert?pnum=59&userid=&liked=0 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [17/Apr/2021:00:26:58 +0900] "GET /project/ruser_login.jsp HTTP/1.1" 200 3101
0:0:0:0:0:0:0:1 - - [17/Apr/2021:00:27:05 +0900] "GET /project/main?userid=apple&userpw=1234 HTTP/1.1" 200 5804
0:0:0:0:0:0:0:1 - - [17/Apr/2021:00:27:05 +0900] "GET /project/resources/vendor/fontawesome-free/css/all.min.css/vendor/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [17/Apr/2021:00:27:05 +0900] "GET /project/vendor/jquery/jquery.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [17/Apr/2021:00:27:05 +0900] "GET /project/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [17/Apr/2021:00:27:05 +0900] "GET /project/resources/vendor/fontawesome-free/css/all.min.css/vendor/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [17/Apr/2021:00:27:05 +0900] "GET /project/vendor/jquery/jquery.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [17/Apr/2021:00:27:05 +0900] "GET /project/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [17/Apr/2021:00:27:07 +0900] "GET /project/mypage_main.jsp HTTP/1.1" 200 3338
0:0:0:0:0:0:0:1 - - [17/Apr/2021:00:27:07 +0900] "GET /project/resources/vendor/fontawesome-free/css/all.min.css/vendor/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [17/Apr/2021:00:27:09 +0900] "GET /project/productSummary.jsp HTTP/1.1" 200 41761
0:0:0:0:0:0:0:1 - - [17/Apr/2021:00:27:09 +0900] "GET /project/resources/vendor/fontawesome-free/css/all.min.css/vendor/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [17/Apr/2021:00:27:09 +0900] "POST /project/getProduct HTTP/1.1" 200 42514
0:0:0:0:0:0:0:1 - - [17/Apr/2021:00:27:10 +0900] "GET /project/mypage_main.jsp HTTP/1.1" 200 3338
0:0:0:0:0:0:0:1 - - [17/Apr/2021:00:27:10 +0900] "GET /project/resources/vendor/fontawesome-free/css/all.min.css/vendor/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [17/Apr/2021:00:27:11 +0900] "GET /project/recent_select?userid=apple HTTP/1.1" 200 4908
0:0:0:0:0:0:0:1 - - [17/Apr/2021:00:27:11 +0900] "GET /project/resources/vendor/fontawesome-free/css/all.min.css/vendor/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [17/Apr/2021:00:27:13 +0900] "GET /project/productSummary.jsp HTTP/1.1" 200 41761
0:0:0:0:0:0:0:1 - - [17/Apr/2021:00:27:13 +0900] "GET /project/resources/vendor/fontawesome-free/css/all.min.css/vendor/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [17/Apr/2021:00:27:13 +0900] "POST /project/getProduct HTTP/1.1" 200 42514
0:0:0:0:0:0:0:1 - - [17/Apr/2021:00:27:16 +0900] "GET /project/productdetail.jsp?pnum=59 HTTP/1.1" 200 18604
0:0:0:0:0:0:0:1 - - [17/Apr/2021:00:27:16 +0900] "GET /project/resources/vendor/fontawesome-free/css/all.min.css/vendor/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [17/Apr/2021:00:27:17 +0900] "GET /project/getFlocation HTTP/1.1" 200 4605
0:0:0:0:0:0:0:1 - - [17/Apr/2021:00:27:17 +0900] "GET /project/productInfo?pnum=59 HTTP/1.1" 200 438
0:0:0:0:0:0:0:1 - - [17/Apr/2021:00:27:17 +0900] "GET /project/my_insert?pnum=59&userid=apple&liked=0 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [17/Apr/2021:00:28:05 +0900] "GET /project/basket?pnum=59&userid=apple&liked=1 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [17/Apr/2021:00:33:43 +0900] "GET /project/main.jsp HTTP/1.1" 200 9917
0:0:0:0:0:0:0:1 - - [17/Apr/2021:00:33:43 +0900] "GET /project/vendor/jquery/jquery.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [17/Apr/2021:00:33:43 +0900] "GET /project/resources/vendor/fontawesome-free/css/all.min.css/vendor/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [17/Apr/2021:00:33:43 +0900] "GET /project/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [17/Apr/2021:00:33:43 +0900] "GET /project/vendor/jquery/jquery.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [17/Apr/2021:00:33:43 +0900] "GET /project/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [17/Apr/2021:00:33:43 +0900] "GET /project/checkBasket?userid1=apple HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [17/Apr/2021:00:34:32 +0900] "GET /project/main.jsp HTTP/1.1" 200 9917
0:0:0:0:0:0:0:1 - - [17/Apr/2021:00:34:32 +0900] "GET /project/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [17/Apr/2021:00:34:32 +0900] "GET /project/resources/vendor/fontawesome-free/css/all.min.css/vendor/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [17/Apr/2021:00:34:32 +0900] "GET /project/vendor/jquery/jquery.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [17/Apr/2021:00:34:32 +0900] "GET /project/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [17/Apr/2021:00:34:32 +0900] "GET /project/checkBasket?userid1=apple HTTP/1.1" 200 1787
0:0:0:0:0:0:0:1 - - [17/Apr/2021:00:55:32 +0900] "GET /project/productSummary.jsp HTTP/1.1" 200 41761
0:0:0:0:0:0:0:1 - - [17/Apr/2021:00:55:32 +0900] "GET /project/resources/vendor/fontawesome-free/css/all.min.css/vendor/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [17/Apr/2021:00:55:32 +0900] "POST /project/getProduct HTTP/1.1" 200 42514
0:0:0:0:0:0:0:1 - - [17/Apr/2021:00:55:34 +0900] "GET /project/ruser_logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Apr/2021:00:55:34 +0900] "GET /project/main.jsp HTTP/1.1" 200 9578
0:0:0:0:0:0:0:1 - - [17/Apr/2021:00:55:34 +0900] "GET /project/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [17/Apr/2021:00:55:34 +0900] "GET /project/resources/vendor/fontawesome-free/css/all.min.css/vendor/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [17/Apr/2021:00:55:34 +0900] "GET /project/vendor/jquery/jquery.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [17/Apr/2021:00:55:34 +0900] "GET /project/vendor/jquery/jquery.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [17/Apr/2021:00:55:34 +0900] "GET /project/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [17/Apr/2021:00:55:35 +0900] "GET /project/productSummary.jsp HTTP/1.1" 200 41640
0:0:0:0:0:0:0:1 - - [17/Apr/2021:00:55:35 +0900] "GET /project/resources/vendor/fontawesome-free/css/all.min.css/vendor/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [17/Apr/2021:00:55:35 +0900] "POST /project/getProduct HTTP/1.1" 200 42514
0:0:0:0:0:0:0:1 - - [17/Apr/2021:00:55:44 +0900] "GET /project/productdetail.jsp?pnum=28 HTTP/1.1" 200 18255
0:0:0:0:0:0:0:1 - - [17/Apr/2021:00:55:45 +0900] "GET /project/resources/vendor/fontawesome-free/css/all.min.css/vendor/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 404 721
